,ESP-1,ESP-2,ESP-3,mean
1.4700000000000004,12.388238278128345,10.06363025234266,3.8356803720291963,8.762516300833399
1.4800000000000004,11.926330593035589,9.709567386905015,3.7443367758110404,8.460078251917214
1.4900000000000004,11.482923583965267,9.370314122313982,3.6583589823133154,8.170532229530854
1.5000000000000004,11.0575800178462,9.046414779319637,3.5789907245665846,7.894328507244141
1.5100000000000005,10.650235506409313,8.735816809516267,3.5054660441406953,7.630506120022093
1.5200000000000005,10.259062531182778,8.437802518114148,3.437185402937111,7.378016817411345
1.5300000000000005,9.882920757142603,8.153216993907003,3.373335040927497,7.136490930659035
1.5400000000000005,9.521693528509179,7.880251424657419,3.3146134176233644,6.905519456929987
1.5500000000000005,9.17506519445861,7.618812509419164,3.2612620011537663,6.6850465683438465
1.5600000000000005,8.841067066113727,7.368585261450491,3.2126722961977334,6.474108207920651
1.5700000000000005,8.519941066082508,7.1285119067086,3.1714037897946548,6.273285587528588
1.5800000000000005,8.211232162125933,6.899483168314278,3.1356743085081717,6.082129879649461
1.5900000000000005,7.913950130869059,6.682222533591305,3.1033450355650594,5.899839233341808
1.6000000000000005,7.62836652180833,6.474586837751552,3.073401695630444,5.725451685063441
1.6100000000000005,7.353503889968465,6.276695686480381,3.046104686248725,5.5587680875658565
1.6200000000000006,7.08923284558443,6.088372635763508,3.0220867732768815,5.3998974182082735
1.6300000000000006,6.83407303619453,5.910458958779118,3.000259296252749,5.248263763742132
1.6400000000000006,6.587893488095182,5.7411452074263,2.981147610639344,5.103395435386942
1.6500000000000006,6.3511968395725145,5.579639962402436,2.9647018959492915,4.965179565974748
1.6600000000000006,6.123135571102207,5.427048840143131,2.9500129235103763,4.833399111585238
1.6700000000000006,5.904205070103821,5.2817300820060735,2.937640236701954,4.707858462937283
1.6800000000000006,5.693573006632886,5.1430178633802655,2.9263985539904662,4.587663141334539
1.6900000000000006,5.490422147447821,5.010424259216425,2.915883941701906,4.472243449455384
1.7000000000000006,5.295424116845514,4.882717107645841,2.9068578876120625,4.36166637070114
1.7100000000000006,5.109034258791454,4.761522884237653,2.8994975757648485,4.256684906264652
1.7200000000000006,4.93026134753507,4.6454566146713665,2.8948452972161327,4.156854419807523
1.7300000000000006,4.760745414343234,4.534306560087262,2.8930059519194717,4.062685975449989
1.7400000000000007,4.598592796470039,4.427247822851055,2.8943442577820897,3.9733949590343944
1.7500000000000007,4.442784997069434,4.324178977704134,2.8975255104069335,3.8881631617268333
1.7600000000000007,4.295558284008115,4.225752601886536,2.903734294389021,3.8083483934278903
1.7700000000000007,4.155667693316406,4.131179471533166,2.912051171002729,3.7329661119507667
1.7800000000000007,4.0227559447157155,4.039508646117861,2.9218842022066505,3.6613829310134087
1.7900000000000007,3.895224044870009,3.9511862148258583,2.9329331243233265,3.5931144613397312
1.8000000000000007,3.7731394013573776,3.86640496195352,2.944034871743184,3.527859745018027
1.8100000000000007,3.656728463992819,3.785287368994937,2.9560140195308358,3.466009950839531
1.8200000000000007,3.5469391663340324,3.7086425032655708,2.969319240806486,3.4083003034686965
1.8300000000000007,3.443315085914551,3.6355282241894713,2.9828437986833647,3.353895702929129
1.8400000000000007,3.346281591486119,3.5660925078283254,2.9972073872642935,3.303193828859579
